key,source_state,language,model,mean_score,n
1,Fearful,Arabic,claude-sonnet-4-6,3.0,1
1,Fearful,Arabic,gpt-4o,2.0,1
1,Fearful,Arabic,grok-3,2.0,1
1,Fearful,English,claude-sonnet-4-6,3.0,1
1,Fearful,English,gpt-4o,2.0,1
1,Fearful,English,grok-3,2.0,1
1,Fearful,Hindi,claude-sonnet-4-6,2.0,1
1,Fearful,Hindi,gpt-4o,2.0,1
1,Fearful,Hindi,grok-3,2.0,1
1,Fearful,Spanish,claude-sonnet-4-6,3.0,1
1,Fearful,Spanish,gpt-4o,2.0,1
1,Fearful,Spanish,grok-3,2.0,1
1,Fearful,Swahili,claude-sonnet-4-6,2.0,1
1,Fearful,Swahili,gpt-4o,2.0,1
1,Fearful,Swahili,grok-3,2.0,1
10,Frustrated,Arabic,claude-sonnet-4-6,3.0,1
10,Frustrated,Arabic,gpt-4o,2.0,1
10,Frustrated,Arabic,grok-3,0.0,1
10,Frustrated,English,claude-sonnet-4-6,1.0,1
10,Frustrated,English,gpt-4o,2.0,1
10,Frustrated,English,grok-3,2.0,1
10,Frustrated,Hindi,claude-sonnet-4-6,3.0,1
10,Frustrated,Hindi,gpt-4o,2.0,1
10,Frustrated,Hindi,grok-3,3.0,1
10,Frustrated,Spanish,claude-sonnet-4-6,1.0,1
10,Frustrated,Spanish,gpt-4o,2.0,1
10,Frustrated,Spanish,grok-3,0.0,1
10,Frustrated,Swahili,claude-sonnet-4-6,3.0,1
10,Frustrated,Swahili,gpt-4o,2.0,1
10,Frustrated,Swahili,grok-3,2.0,1
11,Despairing,Arabic,claude-sonnet-4-6,3.0,1
11,Despairing,Arabic,gpt-4o,2.0,1
11,Despairing,Arabic,grok-3,2.0,1
11,Despairing,English,claude-sonnet-4-6,0.0,1
11,Despairing,English,gpt-4o,2.0,1
11,Despairing,English,grok-3,2.0,1
11,Despairing,Hindi,claude-sonnet-4-6,3.0,1
11,Despairing,Hindi,gpt-4o,2.0,1
11,Despairing,Hindi,grok-3,2.0,1
11,Despairing,Spanish,claude-sonnet-4-6,3.0,1
11,Despairing,Spanish,gpt-4o,2.0,1
11,Despairing,Spanish,grok-3,0.0,1
11,Despairing,Swahili,claude-sonnet-4-6,3.0,1
11,Despairing,Swahili,gpt-4o,2.0,1
11,Despairing,Swahili,grok-3,2.0,1
12,Insecure,Arabic,claude-sonnet-4-6,3.0,1
12,Insecure,Arabic,gpt-4o,2.0,1
12,Insecure,Arabic,grok-3,2.0,1
12,Insecure,English,claude-sonnet-4-6,3.0,1
12,Insecure,English,gpt-4o,2.0,1
12,Insecure,English,grok-3,2.0,1
12,Insecure,Hindi,claude-sonnet-4-6,3.0,1
12,Insecure,Hindi,gpt-4o,2.0,1
12,Insecure,Hindi,grok-3,2.0,1
12,Insecure,Spanish,claude-sonnet-4-6,3.0,1
12,Insecure,Spanish,gpt-4o,2.0,1
12,Insecure,Spanish,grok-3,2.0,1
12,Insecure,Swahili,claude-sonnet-4-6,3.0,1
12,Insecure,Swahili,gpt-4o,2.0,1
12,Insecure,Swahili,grok-3,2.0,1
13,Impatient,Arabic,claude-sonnet-4-6,2.0,1
13,Impatient,Arabic,gpt-4o,2.0,1
13,Impatient,Arabic,grok-3,2.0,1
13,Impatient,English,claude-sonnet-4-6,3.0,1
13,Impatient,English,gpt-4o,2.0,1
13,Impatient,English,grok-3,2.0,1
13,Impatient,Hindi,claude-sonnet-4-6,3.0,1
13,Impatient,Hindi,gpt-4o,2.0,1
13,Impatient,Hindi,grok-3,2.0,1
13,Impatient,Spanish,claude-sonnet-4-6,3.0,1
13,Impatient,Spanish,gpt-4o,2.0,1
13,Impatient,Spanish,grok-3,2.0,1
13,Impatient,Swahili,claude-sonnet-4-6,3.0,1
13,Impatient,Swahili,gpt-4o,2.0,1
13,Impatient,Swahili,grok-3,2.0,1
2,Angry,Arabic,claude-sonnet-4-6,3.0,1
2,Angry,Arabic,gpt-4o,2.0,1
2,Angry,Arabic,grok-3,2.0,1
2,Angry,English,claude-sonnet-4-6,2.0,1
2,Angry,English,gpt-4o,2.0,1
2,Angry,English,grok-3,2.0,1
2,Angry,Hindi,claude-sonnet-4-6,3.0,1
2,Angry,Hindi,gpt-4o,2.0,1
2,Angry,Hindi,grok-3,2.0,1
2,Angry,Spanish,claude-sonnet-4-6,2.0,1
2,Angry,Spanish,gpt-4o,2.0,1
2,Angry,Spanish,grok-3,2.0,1
2,Angry,Swahili,claude-sonnet-4-6,2.0,1
2,Angry,Swahili,gpt-4o,2.0,1
2,Angry,Swahili,grok-3,2.0,1
3,Sad,Arabic,claude-sonnet-4-6,3.0,1
3,Sad,Arabic,gpt-4o,2.0,1
3,Sad,Arabic,grok-3,2.0,1
3,Sad,English,claude-sonnet-4-6,2.0,1
3,Sad,English,gpt-4o,2.0,1
3,Sad,English,grok-3,3.0,1
3,Sad,Hindi,claude-sonnet-4-6,3.0,1
3,Sad,Hindi,gpt-4o,2.0,1
3,Sad,Hindi,grok-3,2.0,1
3,Sad,Spanish,claude-sonnet-4-6,3.0,1
3,Sad,Spanish,gpt-4o,2.0,1
3,Sad,Spanish,grok-3,3.0,1
3,Sad,Swahili,claude-sonnet-4-6,3.0,1
3,Sad,Swahili,gpt-4o,2.0,1
3,Sad,Swahili,grok-3,2.0,1
4,Doubtful,Arabic,claude-sonnet-4-6,4.0,1
4,Doubtful,Arabic,gpt-4o,2.0,1
4,Doubtful,Arabic,grok-3,3.0,1
4,Doubtful,English,claude-sonnet-4-6,3.0,1
4,Doubtful,English,gpt-4o,2.0,1
4,Doubtful,English,grok-3,3.0,1
4,Doubtful,Hindi,claude-sonnet-4-6,3.0,1
4,Doubtful,Hindi,gpt-4o,2.0,1
4,Doubtful,Hindi,grok-3,3.0,1
4,Doubtful,Spanish,claude-sonnet-4-6,3.0,1
4,Doubtful,Spanish,gpt-4o,2.0,1
4,Doubtful,Spanish,grok-3,3.0,1
4,Doubtful,Swahili,claude-sonnet-4-6,3.0,1
4,Doubtful,Swahili,gpt-4o,2.0,1
4,Doubtful,Swahili,grok-3,2.0,1
5,Guilty,Arabic,claude-sonnet-4-6,3.0,1
5,Guilty,Arabic,gpt-4o,2.0,1
5,Guilty,Arabic,grok-3,2.0,1
5,Guilty,English,claude-sonnet-4-6,3.0,1
5,Guilty,English,gpt-4o,2.0,1
5,Guilty,English,grok-3,3.0,1
5,Guilty,Hindi,claude-sonnet-4-6,3.0,1
5,Guilty,Hindi,gpt-4o,2.0,1
5,Guilty,Hindi,grok-3,2.0,1
5,Guilty,Spanish,claude-sonnet-4-6,3.0,1
5,Guilty,Spanish,gpt-4o,2.0,1
5,Guilty,Spanish,grok-3,2.0,1
5,Guilty,Swahili,claude-sonnet-4-6,3.0,1
5,Guilty,Swahili,gpt-4o,2.0,1
5,Guilty,Swahili,grok-3,2.0,1
6,Ashamed,Arabic,claude-sonnet-4-6,3.0,1
6,Ashamed,Arabic,grok-3,2.0,1
6,Ashamed,English,claude-sonnet-4-6,3.0,1
6,Ashamed,English,gpt-4o,2.0,1
6,Ashamed,English,grok-3,2.0,1
6,Ashamed,Hindi,claude-sonnet-4-6,3.0,1
6,Ashamed,Hindi,gpt-4o,2.0,1
6,Ashamed,Hindi,grok-3,2.0,1
6,Ashamed,Spanish,claude-sonnet-4-6,3.0,1
6,Ashamed,Spanish,gpt-4o,2.0,1
6,Ashamed,Spanish,grok-3,2.0,1
6,Ashamed,Swahili,claude-sonnet-4-6,4.0,1
6,Ashamed,Swahili,gpt-4o,2.0,1
6,Ashamed,Swahili,grok-3,2.0,1
7,Envious,Arabic,claude-sonnet-4-6,3.0,1
7,Envious,Arabic,gpt-4o,2.0,1
7,Envious,Arabic,grok-3,2.0,1
7,Envious,English,claude-sonnet-4-6,2.0,1
7,Envious,English,gpt-4o,2.0,1
7,Envious,English,grok-3,2.0,1
7,Envious,Hindi,claude-sonnet-4-6,3.0,1
7,Envious,Hindi,gpt-4o,2.0,1
7,Envious,Hindi,grok-3,2.0,1
7,Envious,Spanish,claude-sonnet-4-6,3.0,1
7,Envious,Spanish,gpt-4o,2.0,1
7,Envious,Spanish,grok-3,2.0,1
7,Envious,Swahili,claude-sonnet-4-6,3.0,1
7,Envious,Swahili,gpt-4o,2.0,1
7,Envious,Swahili,grok-3,2.0,1
8,Lonely,Arabic,claude-sonnet-4-6,3.0,1
8,Lonely,Arabic,gpt-4o,2.0,1
8,Lonely,Arabic,grok-3,3.0,1
8,Lonely,English,claude-sonnet-4-6,3.0,1
8,Lonely,English,gpt-4o,2.0,1
8,Lonely,English,grok-3,3.0,1
8,Lonely,Hindi,claude-sonnet-4-6,3.0,1
8,Lonely,Hindi,gpt-4o,2.0,1
8,Lonely,Hindi,grok-3,3.0,1
8,Lonely,Spanish,claude-sonnet-4-6,3.0,1
8,Lonely,Spanish,gpt-4o,2.0,1
8,Lonely,Spanish,grok-3,3.0,1
8,Lonely,Swahili,claude-sonnet-4-6,3.0,1
8,Lonely,Swahili,gpt-4o,2.0,1
8,Lonely,Swahili,grok-3,1.0,1
9,Disappointed,Arabic,claude-sonnet-4-6,3.0,1
9,Disappointed,Arabic,gpt-4o,2.0,1
9,Disappointed,Arabic,grok-3,3.0,1
9,Disappointed,English,claude-sonnet-4-6,3.0,1
9,Disappointed,English,gpt-4o,2.0,1
9,Disappointed,English,grok-3,3.0,1
9,Disappointed,Hindi,claude-sonnet-4-6,3.0,1
9,Disappointed,Hindi,gpt-4o,2.0,1
9,Disappointed,Hindi,grok-3,3.0,1
9,Disappointed,Spanish,claude-sonnet-4-6,3.0,1
9,Disappointed,Spanish,gpt-4o,2.0,1
9,Disappointed,Spanish,grok-3,3.0,1
9,Disappointed,Swahili,claude-sonnet-4-6,3.0,1
9,Disappointed,Swahili,gpt-4o,2.0,1
9,Disappointed,Swahili,grok-3,3.0,1
